# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
     Mimas 3.750000e+19 1.432911e+12 -3.880534e+07 1.564204e-12 1.260924e+04 2.909116e+02 2.172641e-16
   Miranda 6.590000e+19 2.877117e+12 1.084206e+08 1.859049e-13 -1.863753e+03 1.354105e+04 2.582152e-17
     Ariel 1.350000e+21 2.877184e+12 3.481737e+07 1.858956e-13 1.217436e+03 1.231079e+04 2.582012e-17
   Umbriel 1.170000e+21 2.876867e+12 -1.550120e+08 1.859615e-13 4.048999e+03 4.437347e+03 2.582918e-17
   Titania 3.420000e+21 2.876950e+12 -3.590787e+08 1.859452e-13 3.620721e+03 6.381650e+03 2.582694e-17
    Oberon 3.000000e+21 2.877340e+12 5.467476e+08 1.858567e-13 -2.560528e+03 8.638045e+03 2.581484e-17
    Triton 2.140000e+22 4.502755e+12 -1.967670e+08 4.783637e-14 3.175450e+03 2.380050e+03 6.644160e-18
Asteroid_1 9.550021e+17 3.677667e+10 -3.146635e+10 8.598753e+08 3.404813e+04 3.979369e+04 -5.171595e+00

# Step 3, Time: 1.080000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 3.651431e+01 1.007836e-02 6.261404e-08 4.057145e-03 1.683007e-06 6.957171e-12
   Mercury 3.301000e+23 5.789487e+10 6.893127e+08 1.251965e-07 -5.702169e+02 4.786745e+04 1.393473e-11
     Venus 4.867000e+24 1.081985e+11 5.042863e+08 1.471613e-08 -1.632781e+02 3.501971e+04 1.638877e-12
     Earth 5.972000e+24 1.495992e+11 4.288278e+08 4.381568e-09 -8.515112e+01 2.977951e+04 4.876419e-13
      Mars 6.417000e+23 2.278997e+11 3.474719e+08 9.728594e-10 -3.680055e+01 2.412998e+04 1.082055e-13
   Jupiter 1.898000e+27 7.785000e+11 1.882049e+08 1.734259e-11 -2.790647e+00 1.306968e+04 1.927468e-15
    Saturn 5.683000e+26 1.433000e+12 1.393913e+08 2.606374e-12 -9.389403e-01 9.679916e+03 2.896393e-16
    Uranus 8.681000e+25 2.877000e+12 9.791966e+07 3.098968e-13 -2.011083e-01 6.799964e+03 3.443563e-17
   Neptune 1.024000e+26 4.503000e+12 7.819103e+07 7.971555e-14 -2.153148e-01 5.429890e+03 8.857755e-18
      Moon 7.342000e+22 1.498176e+11 1.130482e+08 4.368767e-09 7.557156e+02 3.036126e+04 4.861948e-13
    Phobos 1.070000e+16 2.279121e+11 3.394810e+08 9.728713e-10 1.413657e+03 2.480871e+04 1.082021e-13
    Deimos 1.480000e+15 2.279192e+11 3.378408e+08 9.727772e-10 6.835100e+02 2.539490e+04 1.081930e-13
        Io 8.930000e+22 7.788230e+11 -5.578260e+07 1.733136e-11 1.118368e+04 2.723147e+04 1.926038e-15
    Europa 4.800000e+22 7.791422e+11 1.953990e+07 1.730249e-11 3.562154e+03 2.649192e+04 1.922952e-15
  Ganymede 1.480000e+23 7.786939e+11 1.237593e+09 1.731796e-11 -1.073010e+04 1.505540e+04 1.924880e-15
  Callisto 1.080000e+23 7.774406e+11 1.742582e+09 1.740675e-11 -6.782118e+03 8.449212e+03 1.934700e-15
     Titan 1.345000e+23 1.433219e+12 -1.062170e+09 2.605633e-12 5.481816e+03 1.067891e+04 2.895508e-16
      Rhea 2.310000e+21 1.432792e+12 6.199341e+08 2.606983e-12 -7.841184e+03 6.302536e+03 2.897160e-16
   Iapetus 1.810000e+21 1.429659e+12 -1.088952e+09 2.625382e-12 1.124054e+03 6.620184e+03 2.917504e-16
     Dione 1.100000e+21 1.432641e+12 4.642007e+07 2.608432e-12 2.429808e+03 -3.536244e+02 2.898656e-16
    Tethys 6.170000e+20 1.432948e+12 -1.404783e+08 2.607313e-12 1.151964e+04 7.301998e+03 2.897301e-16
 Enceladus 1.080000e+20 1.432780e+12 1.472145e+08 2.607314e-12 -7.660272e+02 -3.651306e+03 2.897459e-16
     Mimas 3.750000e+19 1.432966e+12 -2.305911e+07 2.607141e-12 1.513784e+04 4.373953e+03 2.897046e-16
   Miranda 6.590000e+19 2.877106e+12 1.557392e+08 3.098587e-13 -3.196004e+03 1.314406e+04 3.443161e-17
     Ariel 1.350000e+21 2.877186e+12 7.957144e+07 3.098416e-13 6.408782e+02 1.243168e+04 3.442944e-17
   Umbriel 1.170000e+21 2.876882e+12 -1.381096e+08 3.099500e-13 4.199163e+03 4.695107e+03 3.444127e-17
   Titania 3.420000e+21 2.876963e+12 -3.357112e+08 3.099232e-13 3.633306e+03 6.490954e+03 3.443833e-17
    Oberon 3.000000e+21 2.877330e+12 5.776649e+08 3.097780e-13 -2.596419e+03 8.588136e+03 3.442260e-17
    Triton 2.140000e+22 4.502767e+12 -1.876887e+08 7.972990e-14 3.311390e+03 2.521763e+03 8.859314e-18
Asteroid_1 9.550021e+17 3.689869e+10 -3.132262e+10 8.598437e+08 3.389320e+04 3.992625e+04 -8.794118e+00

# Step 4, Time: 1.440000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 5.477146e+01 2.018625e-02 9.392132e-08 5.071430e-03 2.807746e-06 8.696469e-12
   Mercury 3.301000e+23 5.789230e+10 8.616294e+08 1.880107e-07 -7.127664e+02 4.786576e+04 1.744839e-11
     Venus 4.867000e+24 1.081978e+11 6.303566e+08 2.210799e-08 -2.040974e+02 3.501952e+04 2.053294e-12
     Earth 5.972000e+24 1.495989e+11 5.360335e+08 6.579558e-09 -1.064365e+02 2.977935e+04 6.105529e-13
      Mars 6.417000e+23 2.278995e+11 4.343397e+08 1.460278e-09 -4.600067e+01 2.412996e+04 1.353939e-13
   Jupiter 1.898000e+27 7.785000e+11 2.352556e+08 2.601849e-11 -3.447546e+00 1.306963e+04 2.409973e-15
    Saturn 5.683000e+26 1.433000e+12 1.742389e+08 3.909939e-12 -1.172470e+00 9.679894e+03 3.621015e-16
    Uranus 8.681000e+25 2.877000e+12 1.223995e+08 4.648690e-13 -2.498267e-01 6.799957e+03 4.304783e-17
   Neptune 1.024000e+26 4.503000e+12 9.773853e+07 1.195776e-13 -2.660498e-01 5.429859e+03 1.107278e-17
      Moon 7.342000e+22 1.498202e+11 2.223775e+08 6.560133e-09 7.288873e+02 3.036925e+04 6.087129e-13
    Phobos 1.070000e+16 2.279151e+11 4.301589e+08 1.460259e-09 8.123227e+02 2.518833e+04 1.353854e-13
    Deimos 1.480000e+15 2.279206e+11 4.297775e+08 1.460128e-09 3.835484e+02 2.553797e+04 1.353751e-13
        Io 8.930000e+22 7.788553e+11 4.828920e+07 2.600020e-11 8.962357e+03 2.890883e+04 2.408012e-15
    Europa 4.800000e+22 7.791514e+11 1.158567e+08 2.595791e-11 2.560636e+03 2.675468e+04 2.404284e-15
  Ganymede 1.480000e+23 7.786550e+11 1.290375e+09 2.598290e-11 -1.080365e+04 1.466159e+04 2.406929e-15
  Callisto 1.080000e+23 7.774164e+11 1.772616e+09 2.611565e-11 -6.710300e+03 8.342699e+03 2.419137e-15
     Titan 1.345000e+23 1.433239e+12 -1.023401e+09 3.908772e-12 5.465174e+03 1.076897e+04 3.619830e-16
      Rhea 2.310000e+21 1.432765e+12 6.409766e+08 3.910933e-12 -7.643755e+03 5.845143e+03 3.622082e-16
   Iapetus 1.810000e+21 1.429663e+12 -1.065106e+09 3.938443e-12 1.133935e+03 6.623902e+03 3.647393e-16
     Dione 1.100000e+21 1.432653e+12 4.604149e+07 3.912995e-12 3.389674e+03 -1.051621e+02 3.623785e-16
    Tethys 6.170000e+20 1.432990e+12 -1.082285e+08 3.911218e-12 1.182803e+04 8.958278e+03 3.621957e-16
 Enceladus 1.080000e+20 1.432787e+12 1.337111e+08 3.911344e-12 2.039695e+03 -3.750932e+03 3.622304e-16
     Mimas 3.750000e+19 1.433024e+12 1.013565e+07 3.910880e-12 1.616046e+04 9.220766e+03 3.621498e-16
   Miranda 6.590000e+19 2.877090e+12 2.005854e+08 4.648146e-13 -4.453774e+03 1.245726e+04 4.304329e-17
     Ariel 1.350000e+21 2.877187e+12 1.245349e+08 4.647860e-13 4.960946e+01 1.248985e+04 4.304012e-17
   Umbriel 1.170000e+21 2.876898e+12 -1.202428e+08 4.649463e-13 4.333064e+03 4.963007e+03 4.305451e-17
   Titania 3.420000e+21 2.876976e+12 -3.119487e+08 4.649064e-13 3.642599e+03 6.600692e+03 4.305090e-17
    Oberon 3.000000e+21 2.877321e+12 6.084000e+08 4.646924e-13 -2.631344e+03 8.537519e+03 4.303176e-17
    Triton 2.140000e+22 4.502779e+12 -1.780777e+08 1.195987e-13 3.441092e+03 2.669714e+03 1.107468e-17
Asteroid_1 9.550021e+17 3.702014e+10 -3.117841e+10 8.597990e+08 3.373775e+04 4.005822e+04 -1.241659e+01

# Step 5, Time: 1.800000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 7.668003e+01 3.535694e-02 1.314899e-07 6.085713e-03 4.214080e-06 1.043572e-11
   Mercury 3.301000e+23 5.788922e+10 1.033939e+09 2.635171e-07 -8.553114e+02 4.786364e+04 2.097402e-11
     Venus 4.867000e+24 1.081969e+11 7.564260e+08 3.099855e-08 -2.449165e+02 3.501929e+04 2.469599e-12
     Earth 5.972000e+24 1.495984e+11 6.432385e+08 9.221466e-09 -1.277208e+02 2.977917e+04 7.338633e-13
      Mars 6.417000e+23 2.278993e+11 5.212076e+08 2.045770e-09 -5.520077e+01 2.412995e+04 1.626367e-13
   Jupiter 1.898000e+27 7.784999e+11 2.823062e+08 3.643232e-11 -4.091792e+00 1.306960e+04 2.892730e-15
    Saturn 5.683000e+26 1.433000e+12 2.090864e+08 5.474443e-12 -1.405334e+00 9.679872e+03 4.345842e-16
    Uranus 8.681000e+25 2.877000e+12 1.468793e+08 6.508498e-13 -2.982179e-01 6.799952e+03 5.166133e-17
   Neptune 1.024000e+26 4.503000e+12 1.172859e+08 1.674145e-13 -3.154182e-01 5.429827e+03 1.328803e-17
      Moon 7.342000e+22 1.498227e+11 3.317353e+08 9.193958e-09 7.019827e+02 3.037718e+04 7.316181e-13
    Phobos 1.070000e+16 2.279159e+11 5.213923e+08 2.045700e-09 2.291175e+02 2.534260e+04 1.626227e-13
    Deimos 1.480000e+15 2.279208e+11 5.219652e+08 2.045530e-09 5.147068e+01 2.560771e+04 1.626117e-13
        Io 8.930000e+22 7.788785e+11 1.571042e+08 3.640500e-11 6.458010e+03 3.022638e+04 2.890220e-15
    Europa 4.800000e+22 7.791569e+11 2.128483e+08 3.634707e-11 1.536879e+03 2.694211e+04 2.885877e-15
  Ganymede 1.480000e+23 7.786159e+11 1.341728e+09 3.638441e-11 -1.086272e+04 1.426485e+04 2.889308e-15
  Callisto 1.080000e+23 7.773925e+11 1.802271e+09 3.656960e-11 -6.636801e+03 8.237314e+03 2.903875e-15
     Titan 1.345000e+23 1.433258e+12 -9.843098e+08 5.472730e-12 5.447050e+03 1.085877e+04 4.344328e-16
      Rhea 2.310000e+21 1.432738e+12 6.604120e+08 5.475943e-12 -7.419041e+03 5.398709e+03 4.347250e-16
   Iapetus 1.810000e+21 1.429667e+12 -1.041247e+09 5.514337e-12 1.143803e+03 6.627653e+03 4.377483e-16
     Dione 1.100000e+21 1.432669e+12 4.690754e+07 5.478662e-12 4.325369e+03 2.405694e+02 4.349075e-16
    Tethys 6.170000e+20 1.433033e+12 -6.982839e+07 5.476042e-12 1.188564e+04 1.066670e+04 4.346732e-16
 Enceladus 1.080000e+20 1.432805e+12 1.221610e+08 5.476363e-12 4.891745e+03 -3.208359e+03 4.347277e-16
     Mimas 3.750000e+19 1.433079e+12 6.101841e+07 5.475444e-12 1.544467e+04 1.413410e+04 4.346013e-16
   Miranda 6.590000e+19 2.877070e+12 2.419572e+08 6.507785e-13 -5.562949e+03 1.149216e+04 5.165664e-17
