# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
Asteroid_1 2.870850e+16 -1.066921e+11 -6.272543e+10 6.553565e+09 1.659796e+04 -2.823340e+04 -8.413413e+00

# Step 5, Time: 1.800000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.994363e+05 1.552984e+05 1.795148e-09 1.222818e+01 1.035832e+01 1.424721e-13
   Mercury 3.301000e+23 5.788922e+10 1.033939e+09 6.223730e-10 -8.553135e+02 4.786364e+04 4.936819e-14
     Venus 4.867000e+24 1.081969e+11 7.564260e+08 3.036332e-10 -2.449169e+02 3.501929e+04 2.409654e-14
     Earth 5.972000e+24 1.495984e+11 6.432461e+08 1.855500e-10 -1.281207e+02 2.977977e+04 1.472749e-14
      Mars 6.417000e+23 2.278993e+11 5.212076e+08 8.646226e-11 -5.520078e+01 2.412995e+04 6.863322e-15
   Jupiter 1.898000e+27 7.784999e+11 2.823120e+08 4.887083e-12 -4.729354e+00 1.307000e+04 3.879175e-16
    Saturn 5.683000e+26 1.433000e+12 2.090880e+08 9.336250e-13 -1.402697e+00 9.680000e+03 7.410374e-17
    Uranus 8.681000e+25 2.877000e+12 1.468800e+08 1.285545e-13 -3.473900e-01 6.800000e+03 1.020322e-17
   Neptune 1.024000e+26 4.503000e+12 1.172880e+08 3.487639e-14 -1.417458e-01 5.430000e+03 2.768055e-18
      Moon 7.342000e+22 -6.953467e+10 2.204694e+07 2.983712e-09 -3.235580e+06 1.020243e+03 3.014772e-13
    Phobos 1.070000e+16 -1.173752e+14 4.618080e+07 5.128072e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -1.875760e+13 2.918160e+07 5.126894e-10 -8.684084e+08 1.351000e+03 2.373601e-14
        Io 8.930000e+22 -5.749766e+10 3.732466e+08 2.677616e-09 -2.679391e+06 1.726626e+04 2.583871e-13
    Europa 4.800000e+22 -2.116236e+10 2.800908e+08 2.031209e-09 -9.942106e+05 1.272301e+04 1.723475e-13
  Ganymede 1.480000e+23 3.727156e+10 -3.855730e+09 1.782577e-09 2.090968e+06 -2.159975e+05 1.259691e-13
  Callisto 1.080000e+23 -1.629281e+12 -2.294738e+12 3.972502e-07 -1.131465e+08 -1.593596e+08 2.756956e-11
     Titan 1.345000e+23 -1.571000e+12 -4.491812e+11 4.915831e-08 -8.728164e+07 -2.495563e+07 2.727558e-12
      Rhea 2.310000e+21 -3.630059e+10 1.813512e+08 2.262582e-09 -1.699629e+06 8.367935e+03 2.022024e-13
   Iapetus 1.810000e+21 -2.590829e+09 -6.643929e+07 1.888318e-09 -9.585255e+05 -2.909245e+04 1.854641e-13
     Dione 1.100000e+21 -7.216422e+10 2.192053e+08 3.050081e-09 -3.357096e+06 1.014440e+04 3.108063e-13
    Tethys 6.170000e+20 -1.182941e+11 2.450985e+08 4.592771e-09 -5.489762e+06 1.134616e+04 5.201679e-13
 Enceladus 1.080000e+20 -1.819893e+11 2.671739e+08 6.036107e-09 -8.436250e+06 1.236887e+04 5.925951e-13
     Mimas 3.750000e+19 -2.981899e+11 3.067153e+08 5.796580e-09 -1.381363e+07 1.419971e+04 4.235539e-13
   Miranda 6.590000e+19 -6.201922e+11 1.434238e+08 4.258829e-09 -2.871855e+07 6.639985e+03 2.406503e-13
     Ariel 1.350000e+21 -2.827672e+11 1.200938e+08 5.904172e-09 -1.309983e+07 5.559865e+03 4.434944e-13
   Umbriel 1.170000e+21 -1.456073e+11 1.006426e+08 5.447920e-09 -6.753083e+06 4.659162e+03 5.988697e-13
   Titania 3.420000e+21 -5.372057e+10 7.839912e+07 2.599232e-09 -2.504878e+06 3.626048e+03 2.476171e-13
    Oberon 3.000000e+21 -2.924529e+10 6.668590e+07 2.149945e-09 -1.372512e+06 3.066856e+03 1.875301e-13
    Triton 2.140000e+22 -8.149220e+10 9.474960e+07 3.326864e-09 -3.788212e+06 4.385367e+03 3.503066e-13
Asteroid_1 2.870850e+16 -1.066323e+11 -6.282701e+10 6.553528e+09 1.662474e+04 -2.821766e+04 -1.005857e+01

# Step 6, Time: 2.160000e+04 s
Name Mass Px Py Pz Vx Vy Vz
